SampleID	female	male
L2S1.273670	0.0053475935828877	0.994652406417112
L2S10.274052	0.0108695652173913	0.989130434782609
L2S11.274220	0	1
L2S12.274348	0.0121951219512195	0.98780487804878
L2S13.273885	0	1
L2S14.274730	0.0169491525423729	0.983050847457627
L2S15.274449	0.00537634408602151	0.994623655913978
L2S16.273836	0.0199004975124378	0.980099502487562
L2S17.274246	0.0115606936416185	0.988439306358382
L2S18.274071	0	1
L2S19.275049	0	1
L2S2.274088	0.00540540540540541	0.994594594594595
L2S20.274098	0	1
L2S21.274770	0	1
L2S22.274974	0.0161290322580645	0.983870967741935
L2S23.275132	0.00546448087431694	0.994535519125683
L2S24.274902	0.00540540540540541	0.994594594594595
L2S25.273926	0	1
L2S26.274870	0	1
L2S28.274711	0.032258064516129	0.967741935483871
L2S29.273464	0.0112359550561798	0.98876404494382
L2S3.273423	0.00531914893617021	0.99468085106383
L2S30.274665	0.0497512437810945	0.950248756218905
L2S31.273258	0	1
L2S32.273780	0.01	0.99
L2S33.275034	0.00625	0.99375
L2S34.274160	0	1
L2S35.274125	0.0099009900990099	0.99009900990099
L2S36.274819	0	1
L2S38.274986	0.0119760479041916	0.988023952095808
L2S39.273828	0	1
L2S4.274408	0.0220994475138122	0.977900552486188
L2S40.274521	0.0158730158730159	0.984126984126984
L2S41.274536	0.0110497237569061	0.988950276243094
L2S42.274282	0	1
L2S43.273410	0.00529100529100529	0.994708994708995
L2S44.274128	0.00598802395209581	0.994011976047904
L2S45.274136	0.00531914893617021	0.99468085106383
L2S46.274196	0.00512820512820513	0.994871794871795
L2S47.273331	0	1
L2S48.274848	0.0181818181818182	0.981818181818182
L2S49.273493	0.00564971751412429	0.994350282485876
L2S5.274932	0.00523560209424084	0.994764397905759
L2S50.274129	0.0285714285714286	0.971428571428571
L2S51.274458	0.00975609756097561	0.990243902439024
L2S52.274510	0	1
L2S53.274744	0	1
L2S54.273803	0.00564971751412429	0.994350282485876
L2S55.273237	0.00549450549450549	0.994505494505495
L2S56.274152	0.0213903743315508	0.978609625668449
L2S57.273720	0.337016574585635	0.662983425414365
L2S58.275074	0.00568181818181818	0.994318181818182
L2S59.273382	0.0104166666666667	0.989583333333333
L2S6.273637	0	1
L2S60.273730	0	1
L2S61.274821	0.0103092783505155	0.989690721649485
L2S62.274700	0.00574712643678161	0.994252873563218
L2S63.274401	0.00555555555555556	0.994444444444444
L2S64.273911	0.0189873417721519	0.981012658227848
L2S65.273492	0.01	0.99
L2S66.273772	0.00546448087431694	0.994535519125683
L2S67.274224	0.005	0.995
L2S68.274198	0.0108108108108108	0.989189189189189
L2S69.274304	0	1
L2S7.274964	0.0151515151515152	0.984848484848485
L2S70.275150	0.00564971751412429	0.994350282485876
L2S71.274066	0.0368421052631579	0.963157894736842
L2S72.274803	0.0119047619047619	0.988095238095238
L2S73.273400	0.0294117647058824	0.970588235294118
L2S74.275009	0.00571428571428571	0.994285714285714
L2S75.274835	0.0053475935828877	0.994652406417112
L2S76.273540	0.00571428571428571	0.994285714285714
L2S77.275174	0.00523560209424084	0.994764397905759
L2S78.274519	0	1
L2S8.274367	0.0159574468085106	0.984042553191489
L2S81.274524	0	1
L2S82.273335	0.00555555555555556	0.994444444444444
L2S83.274705	0	1
L2S84.273312	0.0114285714285714	0.988571428571429
L2S86.274853	0.0101010101010101	0.98989898989899
L2S87.273805	0.00555555555555556	0.994444444444444
L2S88.273522	0.00625	0.99375
L2S89.274561	0.00510204081632653	0.994897959183674
L2S9.274120	0.00495049504950495	0.995049504950495
L2S90.274515	0.010989010989011	0.989010989010989
L2S91.275128	0	1
L2S92.273461	0	1
L2S93.273568	0.0162162162162162	0.983783783783784
L2S94.274742	0	1
L2S95.273958	0	1
L1S1.275106	0.666666666666667	0.333333333333333
L1S10.274330	0.945273631840796	0.054726368159204
L1S100.274845	0.989130434782609	0.0108695652173913
L1S101.274587	0.971910112359551	0.0280898876404494
L1S102.273491	0.990049751243781	0.00995024875621891
L1S103.273727	0.975247524752475	0.0247524752475248
L1S104.274727	0.961325966850829	0.0386740331491713
L1S105.273315	0.988888888888889	0.0111111111111111
L1S106.275162	0.98974358974359	0.0102564102564103
L1S107.274626	0.965714285714286	0.0342857142857143
L1S108.274826	0.96	0.04
L1S109.273718	0.990147783251232	0.00985221674876847
L1S11.274949	0.963350785340314	0.0366492146596859
L1S110.274759	0.966480446927374	0.0335195530726257
L1S111.274126	0.990384615384615	0.00961538461538462
L1S112.274528	1	0
L1S113.274445	0.912087912087912	0.0879120879120879
L1S114.274060	0.978142076502732	0.0218579234972678
L1S115.274581	0.993939393939394	0.00606060606060606
L1S116.274735	0.988439306358382	0.0115606936416185
L1S117.275153	0.958579881656805	0.0414201183431953
L1S118.274243	0.974093264248705	0.0259067357512953
