SampleID	P(alleged label)	P(second best)	P(alleged label)-P(second best)
L2S1.273670	0.994652406417112	0.0053475935828877	0.989304812834225
L2S10.274052	0.989130434782609	0.0108695652173913	0.978260869565217
L2S11.274220	1	0	1
L2S12.274348	0.98780487804878	0.0121951219512195	0.975609756097561
L2S13.273885	1	0	1
L2S14.274730	0.983050847457627	0.0169491525423729	0.966101694915254
L2S15.274449	0.994623655913978	0.00537634408602151	0.989247311827957
L2S16.273836	0.980099502487562	0.0199004975124378	0.960199004975124
L2S17.274246	0.988439306358382	0.0115606936416185	0.976878612716763
L2S18.274071	1	0	1
L2S19.275049	1	0	1
L2S2.274088	0.994594594594595	0.00540540540540541	0.989189189189189
L2S20.274098	1	0	1
L2S21.274770	1	0	1
L2S22.274974	0.983870967741935	0.0161290322580645	0.967741935483871
L2S23.275132	0.994535519125683	0.00546448087431694	0.989071038251366
L2S24.274902	0.994594594594595	0.00540540540540541	0.989189189189189
L2S25.273926	1	0	1
L2S26.274870	1	0	1
L2S28.274711	0.967741935483871	0.032258064516129	0.935483870967742
L2S29.273464	0.98876404494382	0.0112359550561798	0.97752808988764
L2S3.273423	0.99468085106383	0.00531914893617021	0.98936170212766
L2S30.274665	0.950248756218905	0.0497512437810945	0.900497512437811
L2S31.273258	1	0	1
L2S32.273780	0.99	0.01	0.98
L2S33.275034	0.99375	0.00625	0.9875
L2S34.274160	1	0	1
L2S35.274125	0.99009900990099	0.0099009900990099	0.98019801980198
L2S36.274819	1	0	1
L2S38.274986	0.988023952095808	0.0119760479041916	0.976047904191617
L2S39.273828	1	0	1
L2S4.274408	0.977900552486188	0.0220994475138122	0.955801104972376
L2S40.274521	0.984126984126984	0.0158730158730159	0.968253968253968
L2S41.274536	0.988950276243094	0.0110497237569061	0.977900552486188
L2S42.274282	1	0	1
L2S43.273410	0.994708994708995	0.00529100529100529	0.989417989417989
L2S44.274128	0.994011976047904	0.00598802395209581	0.988023952095808
L2S45.274136	0.99468085106383	0.00531914893617021	0.98936170212766
L2S46.274196	0.994871794871795	0.00512820512820513	0.98974358974359
L2S47.273331	1	0	1
L2S48.274848	0.981818181818182	0.0181818181818182	0.963636363636364
L2S49.273493	0.994350282485876	0.00564971751412429	0.988700564971752
L2S5.274932	0.994764397905759	0.00523560209424084	0.989528795811518
L2S50.274129	0.971428571428571	0.0285714285714286	0.942857142857143
L2S51.274458	0.990243902439024	0.00975609756097561	0.980487804878049
L2S52.274510	1	0	1
L2S53.274744	1	0	1
L2S54.273803	0.994350282485876	0.00564971751412429	0.988700564971752
L2S55.273237	0.994505494505495	0.00549450549450549	0.989010989010989
L2S56.274152	0.978609625668449	0.0213903743315508	0.957219251336898
L2S57.273720	0.662983425414365	0.337016574585635	0.325966850828729
L2S58.275074	0.994318181818182	0.00568181818181818	0.988636363636364
L2S59.273382	0.989583333333333	0.0104166666666667	0.979166666666667
L2S6.273637	1	0	1
L2S60.273730	1	0	1
L2S61.274821	0.989690721649485	0.0103092783505155	0.979381443298969
L2S62.274700	0.994252873563218	0.00574712643678161	0.988505747126437
L2S63.274401	0.994444444444444	0.00555555555555556	0.988888888888889
L2S64.273911	0.981012658227848	0.0189873417721519	0.962025316455696
L2S65.273492	0.99	0.01	0.98
L2S66.273772	0.994535519125683	0.00546448087431694	0.989071038251366
L2S67.274224	0.995	0.005	0.99
L2S68.274198	0.989189189189189	0.0108108108108108	0.978378378378378
L2S69.274304	1	0	1
L2S7.274964	0.984848484848485	0.0151515151515152	0.96969696969697
L2S70.275150	0.994350282485876	0.00564971751412429	0.988700564971752
L2S71.274066	0.963157894736842	0.0368421052631579	0.926315789473684
L2S72.274803	0.988095238095238	0.0119047619047619	0.976190476190476
L2S73.273400	0.970588235294118	0.0294117647058824	0.941176470588235
L2S74.275009	0.994285714285714	0.00571428571428571	0.988571428571429
L2S75.274835	0.994652406417112	0.0053475935828877	0.989304812834225
L2S76.273540	0.994285714285714	0.00571428571428571	0.988571428571429
L2S77.275174	0.994764397905759	0.00523560209424084	0.989528795811518
L2S78.274519	1	0	1
